keys,English,Bangala,Hindi,Kannada,Odia,Assamese,Gujarati,Marathi,Malayalam,punjabi,Tamil,Telugu
item,Item,পণ্য,वस्तु,ಕಲೆ,ଆଇଟମ୍,সামগ্ৰী,વસ્તુ,वस्तू,ഇനം,ਆਈਟਮ,உருப்படி,వస్తువు
productItem,Product Item,পণ্য আইটেম,उत्पाद,ಉತ್ಪನ್ನದ ವಸ್ತುಗಳು,ଉତ୍ପାଦ ବସ୍ତୁ,প্ৰডাক্ট আইটেম,ઉત્પાદીત વસ્તુ,उत्पादन वस्तू,ഉൽപ്പന്ന ഇനം,ਉਤਪਾਦ ਆਈਟਮ,தயாரிப்பு உருப்படி,ఉత్పత్తి అంశం
price,Price,দাম,कीमत,ಬೆಲೆ,ମୂଲ୍ୟ,মূল্য,કિંમત,किंमत,വില,ਕੀਮਤ,விலை,ధర
cost,cost,ব্যয়,लागत,ಬೆಲೆ,ମୂଲ୍ୟ,খৰচ,મૂલ્ય,किंमत,ചെലവ്,ਲਾਗਤ,செலவு,ధర
favourities,Favourities,অনুগ্রহ,चराई,ಅನುಕೂಲವಾಗುವಿಕೆ,ଅନୁକୂଳତା,অনুগ্ৰহ,સાનુકૂળતા,आवडते,ദെവീറ്റികള്,ਉਪਦੇਸ਼ਕ,விருப்பங்கள்,ఇష్టాలు
mobile,Mobile,মুঠোফোন,गतिमान,ಮೊಬೈರಿ,ମୋବାଇଲ୍ |,ম'বাইল,ફરડ,मोबाईल,ഇളക്കാവുന്ന,ਮੋਬਾਈਲ,கைபேசி,మొబైల్
address,Address,ঠিকানা,पता,ವಿಳಾಸ,ଠିକଣା,ঠিকনা,સરનામું,पत्ता,അഭിസംബോധന ചെയ്യുക,ਪਤਾ,முகவரி,చిరునామా
error,error ,ত্রুটি,गलती,ದೋಷ,ତ୍ରୁଟି,আঁসোৱাহ,ભૂલ,त्रुटी,പിശക്,ਗਲਤੀ,பிழை,లోపం
selectLanguage,Select Language,ভাষা নির্বাচন কর,भाषा चुने,ಭಾಷೆಯನ್ನು ಆಯ್ಕೆಮಾಡಿ,ଭାଷା ଚୟନ କରନ୍ତୁ |,আপোনাৰ ভাষা নিৰ্বাচন কৰক,ભાષા પસંદ કરો,भाषा निवडा,ഭാഷ തിരഞ്ഞെടുക്കുക,ਭਾਸ਼ਾ ਚੁਣੋ,மொழியை தேர்ந்தெடுங்கள்,భాషను ఎంచుకోండి
alternatemobile,Alternate Mobile,বিকল্প মোবাইল,वैकल्पिक मोबाइल,ಪರ್ಯಾಯ ಮೊಬೈಲ್,ଅନ୍ୟ ପୋଟର୍ଷା ମୋବାଇଲ୍ |,বৈকল্পিক ম'বাইল,વૈકલ્પિક મોબાઈલ,पर्यायी मोबाईल,ഇതര മൊബൈൽ,ਵਿਕਲਪਿਕ ਮੋਬਾਈਲ,மாற்று மொபைல்,ప్రత్యామ్నాయ మొబైల్
vegetarian,Vegetarian,নিরামিষ,शाकाहारी,ಸಸ್ಯಾಹಾರಿ,ଶାକାହାରୀ,নিৰামিষভোজী,શાકાહારી,शाकाहारी,വെജിറ്റേറിയൻ,ਸ਼ਾਕਾਹਾਰੀ,சைவம்,శాఖాహారం
nonVegetarian,Non-vegetarian,মাংসাশি,मांसाहारी,ಮಾಂಸಹಾರಿ,ଅଣ-ଶାକାହାରୀ |,অ নিৰামিষভোজী,બિન-શાકાહારી,मांसाहारी,നോൺ-വെജിറ്റേറിയൻ,ਗੈਰ-ਸ਼ਾਕਾਹਾਰੀ,அசைவம்,మాంసాహారం
manageemployee,Manage Employee,কর্মচারী পরিচালনা করুন,कर्मचारी का प्रबंधन करें,ಉದ್ಯೋಗಿಯನ್ನು ನಿರ್ವಹಿಸಿ,କର୍ମଚାରୀ ପରିଚାଳନା କରନ୍ତୁ,কৰ্মচাৰী পৰিচালনা কৰক,કર્મચારીનું સંચાલન કરો,कर्मचारी व्यवस्थापित करा,ജീവനക്കാരനെ നിയന്ത്രിക്കുക,ਕਰਮਚਾਰੀ ਦਾ ਪ੍ਰਬੰਧਨ ਕਰੋ,பணியாளரை நிர்வகிக்கவும்,ఉద్యోగిని నిర్వహించండి
